order_id,order_date,customer_id,product_id,category,quantity,price_per_unit,payment_method,total_order_value,order_status
36,6/11/2025,36,09219-PO-795,Food - Canned Goods,265,278,credit card,997.15,Completed
37,6/8/2025,37,66309-JY-651,Food - Condiments,687,467,credit card,397.92,Completed
38,5/1/2025,38,78645-ME-599,Food - Bakery,160,438,Google Pay,994.17,Completed
39,11/4/2024,39,27004-QF-231,Food - Spreads,535,50,Apple Pay,641.58,Completed
40,11/27/2024,40,70620-LP-323,Food - Beverages,896,443,PayPal,724.53,Completed
41,9/24/2024,41,77334-DB-378,Food - Snacks,151,123,Venmo,66.71,Completed
42,5/15/2025,42,70685-ER-318,Electronics,478,244,Google Pay,311.83,Completed
43,3/16/2025,43,14603-KU-829,Food - Meat,93,262,debit card,797.1,Completed
44,2/17/2025,44,01742-YB-265,Food - Meat,827,106,Venmo,14.03,Completed
45,12/22/2024,45,58424-OG-254,Kitchen,667,,credit card,828.29,Returned
46,7/5/2025,46,79564-OW-835,Accessories,818,180,Apple Pay,739.32,Completed
47,4/28/2025,47,19622-ZZ-666,Food - Bakery,825,249,Venmo,936.34,Completed
48,5/22/2025,48,59215-WZ-988,Garden,51,474,credit card,217.34,Completed
49,4/9/2025,49,40107-LF-564,Home,711,149,debit card,764.01,Completed
50,7/15/2025,50,22867-KD-351,Food - Snacks,97,433,Venmo,513.19,Cancelled
51,6/25/2025,51,85339-WM-796,Fitness,,447,,527.63,Completed
52,1/6/2025,52,22049-QN-384,Audio,,38,credit card,186.42,Pending
53,8/1/2025,53,77384-QV-630,Food - Snacks,492,255,Venmo,188.13,Completed
54,3/5/2025,54,84837-IX-204,Fitness,858,368,debit card,607.89,Completed
55,12/7/2024,55,12658-VA-964,Tools,940,268,credit card,411.85,Completed
56,9/23/2024,56,,Automotive,162,117,Venmo,738.38,Completed
57,3/2/2025,57,54741-VY-960,Garden,322,366,Apple Pay,944.36,Completed
58,4/7/2025,58,09553-LM-777,Food - Snacks,628,75,PayPal,493.61,Completed
59,9/3/2024,59,14353-JI-069,Food - Breakfast,382,278,Google Pay,976.16,Completed
60,2/26/2025,60,19114-FK-378,Food - Breakfast,563,245,PayPal,129.5,Completed
61,11/4/2024,61,71087-TB-595,Home,56,132,Google Pay,848.5,Completed
62,1/25/2025,62,07882-LZ-817,Food - Grains,937,279,PayPal,6.88,Completed
63,3/11/2025,63,57201-PP-496,,627,375,Venmo,263.54,Returned
64,4/8/2025,64,32230-MT-615,Garden,,451,PayPal,748.95,Completed
65,1/19/2025,65,10791-JX-966,Accessories,458,215,Apple Pay,118.48,Completed
66,8/21/2024,66,11981-WV-135,Food - Canned Goods,743,,PayPal,364.64,Completed
67,8/6/2024,67,65724-ED-146,Food - Grains,491,,Google Pay,836.1,Completed
68,9/7/2024,68,86190-KE-464,Food - Snacks,375,234,debit card,135.63,Returned
69,5/19/2025,69,22629-KM-848,Kitchen,528,243,Apple Pay,379.35,Cancelled
70,9/2/2024,70,96940-VQ-364,Toys,432,343,PayPal,459.2,Completed
71,11/23/2024,71,41225-NT-124,Food - Dairy,899,298,Venmo,635.97,Cancelled
72,11/26/2024,72,58569-WA-481,Food - Canned Goods,652,156,Apple Pay,14.27,Returned
73,10/13/2024,73,30138-RH-216,Smart Home,673,349,Apple Pay,579.56,Completed
74,2/6/2025,74,07998-BN-216,Food - Spreads,228,30,Google Pay,732.09,Completed
75,8/13/2024,75,50209-TM-514,Food - Grains,331,486,,180.55,Pending
76,7/30/2025,76,06533-SN-976,Food - Frozen Foods,895,121,credit card,562.08,Cancelled
77,12/28/2024,77,,,965,396,credit card,706.1,Completed
78,1/25/2025,78,14488-MN-475,Food - Beverages,408,318,debit card,562.37,Pending
79,7/31/2025,79,27720-YC-721,Food - Cooking Kits,567,391,debit card,665.92,Cancelled
80,4/11/2025,80,92363-RS-509,Outdoor,307,152,PayPal,104.06,Pending
81,9/4/2024,81,63289-RM-647,Home,633,424,credit card,696.17,Completed
82,4/10/2025,82,64972-LW-645,Food - Canned Goods,163,378,PayPal,897.53,Completed
83,12/13/2024,83,88248-UD-407,Health,300,490,Venmo,962.18,Completed
84,2/19/2025,84,47337-ED-880,Food - Frozen Foods,6,295,PayPal,881.36,Completed
85,7/27/2025,85,55046-JE-852,Food - Frozen Foods,883,214,Venmo,104.15,Pending
86,9/22/2024,86,38168-SF-724,Food - Cooking Kits,820,,debit card,228.89,Completed
87,11/18/2024,87,43650-AC-154,Kitchen,722,,PayPal,60.95,Completed
88,8/14/2024,88,08715-FF-276,Food - Condiments,,,Venmo,37.63,Completed
89,9/7/2024,89,49976-GT-533,Pets,992,228,credit card,523.39,Returned
90,11/10/2024,90,87371-YF-479,Kitchen,706,393,debit card,461.93,Completed
91,10/12/2024,91,29737-ZP-450,Food - Produce,496,133,Google Pay,909.31,Completed
92,4/19/2025,92,39295-CZ-492,Food - Prepared Foods,932,479,credit card,481.31,Completed
93,2/1/2025,93,86497-RR-401,Food - Baking & Cooking,604,344,Google Pay,987.71,Returned
94,1/28/2025,94,31216-UN-103,Garden,338,148,,655.37,Completed
95,10/23/2024,95,10896-CT-953,Food - Confectionery,103,255,PayPal,454.28,Cancelled
96,5/5/2025,96,65031-LQ-628,Home Security,952,217,credit card,120.65,Completed
97,1/27/2025,97,48122-TQ-598,Kitchen,805,68,Apple Pay,777.83,Completed
98,12/8/2024,98,41405-KT-682,Food - Baking Goods,965,239,debit card,178.32,Completed
99,10/13/2024,99,98425-MZ-370,Health,700,419,,222.68,Completed
100,11/17/2024,100,80697-JW-557,Fitness,306,297,Google Pay,535.51,Completed
101,6/4/2025,101,07995-LI-178,Kitchen,965,163,Google Pay,988.34,Completed
102,11/27/2024,102,42753-EH-834,Office,638,222,credit card,981.73,Completed
103,10/31/2024,103,79719-BR-891,Food - Grocery,972,275,Venmo,945.29,Cancelled
104,8/7/2024,104,16644-XM-586,Food - Cereal,952,271,Google Pay,843.15,Completed
105,10/7/2024,105,60037-BD-557,Food - Beverages,435,453,debit card,674.73,Returned
106,9/9/2024,106,53631-LE-720,Electronics,662,407,Venmo,111.11,Completed
107,10/18/2024,107,63833-ZA-490,Clothing - Tops,219,123,credit card,376.34,Completed
108,6/24/2025,108,86394-BT-767,Food - Spices,962,356,debit card,477.22,Completed
109,7/13/2025,109,34845-XL-863,,631,477,debit card,685.39,Cancelled
110,5/26/2025,110,27632-JW-007,Food - Produce,533,423,credit card,189.14,Completed
111,10/17/2024,111,83738-ZK-410,Food - Condiments,974,463,debit card,244.7,Returned
112,1/24/2025,112,16882-HR-505,Automotive,699,358,Google Pay,292.84,Pending
113,5/4/2025,113,05148-RT-426,Food - Meat & Seafood,353,165,Apple Pay,721.4,Completed
114,7/19/2025,114,48508-JA-722,Food - Produce,174,102,Venmo,565.01,Completed
115,11/22/2024,115,20750-IN-331,Food - Condiments,535,,debit card,597.27,Completed
116,3/23/2025,116,48790-ZY-973,Clothing - Activewear,642,129,PayPal,931.56,Completed
117,3/26/2025,117,35825-KE-572,Food - Sides,647,253,PayPal,397.54,Completed
118,5/25/2025,118,58167-DL-969,Home Improvement,941,,Google Pay,718.43,Completed
119,11/9/2024,119,03965-CN-685,Food - Prepared Meals,445,304,Apple Pay,341.4,Completed
120,12/20/2024,120,82970-DI-765,Travel,384,257,debit card,702.99,Cancelled
121,3/21/2025,121,63381-KM-956,Food - Snacks,321,,Venmo,954.26,Completed
122,3/23/2025,122,02080-AM-716,Photography,287,348,Apple Pay,802.72,Pending
123,4/27/2025,123,03842-RU-093,Smart Home,757,40,Venmo,929.34,Completed
124,12/23/2024,124,80897-WB-704,Food - Condiments,116,488,,360.54,Pending
125,1/12/2025,125,96181-NG-305,Food - Prepared Meals,385,,PayPal,106.44,Completed
126,4/19/2025,126,59611-BF-805,Home,825,81,debit card,765.16,Completed
127,7/2/2025,127,58797-BX-845,Accessories,,383,debit card,531.12,Completed
128,9/11/2024,128,68745-GH-015,Audio,387,414,PayPal,750.66,Cancelled
129,1/22/2025,129,40028-BN-395,Outdoor,369,23,Google Pay,270.07,Completed
130,11/8/2024,130,18103-JP-429,Food - Frozen,330,455,Google Pay,650.72,Returned
131,2/15/2025,131,49306-AS-422,Kitchen,637,230,debit card,629.41,Pending
132,2/24/2025,132,94133-UJ-716,Food - Spices,500,334,Venmo,264.96,Completed
133,12/31/2024,133,87061-QH-733,Food - Cheese,55,183,Apple Pay,115.25,Returned
134,5/3/2025,134,56734-RA-251,Home,603,260,Venmo,979.07,Pending
135,11/28/2024,135,56968-SI-414,Food - Frozen Food,922,313,Apple Pay,417.86,Completed
136,5/7/2025,136,36945-JO-253,,65,428,PayPal,689.45,Completed
137,9/25/2024,137,33837-RI-947,Outdoor,314,100,PayPal,873.39,Completed
138,6/26/2025,138,65867-HI-369,Kitchen,773,467,debit card,729.44,Returned
139,1/3/2025,139,43963-PZ-047,Kitchen,969,54,credit card,508.18,Completed
140,8/5/2024,140,05794-XB-544,Health,19,268,Apple Pay,376.92,Completed
141,3/11/2025,141,83560-IZ-371,Food - Cheese,635,62,credit card,174.35,Completed
142,5/9/2025,142,87336-YA-387,Food - Baking,516,300,PayPal,793.54,Completed
143,7/22/2025,143,88160-AY-911,Food - Baking,70,262,debit card,145.01,Completed
144,2/25/2025,144,82649-OO-042,Kitchen,973,156,PayPal,105.81,Completed
145,9/25/2024,145,53191-YY-539,Accessories,916,165,Venmo,637.08,Completed
146,10/19/2024,146,12227-CJ-359,Toys,421,129,PayPal,37.67,Completed
147,4/8/2025,147,34785-AN-273,Food - Frozen Foods,431,198,debit card,99.29,Completed
148,7/22/2025,148,53411-MT-606,Home Improvement,362,422,Venmo,83.98,Completed
149,1/28/2025,149,,Outdoor,471,256,Apple Pay,905.4,Completed
150,12/28/2024,150,97469-XA-139,Clothing - Dresses,893,412,credit card,699.28,Completed
151,10/26/2024,151,96149-LJ-002,Kitchen,675,21,Apple Pay,140.13,Completed
152,5/25/2025,152,54180-MR-224,Home,340,198,Venmo,747.45,Completed
153,12/31/2024,153,56494-HV-250,Food - Sides,300,253,Apple Pay,407.71,Completed
154,9/18/2024,154,42401-SX-100,Fitness,920,259,credit card,712.44,Completed
155,9/17/2024,155,02161-UA-224,Food - Supplements,741,,credit card,610.6,Cancelled
156,3/28/2025,156,94239-QA-034,Food - Marinades,683,388,,211.1,Completed
157,1/11/2025,157,58337-VK-862,Food - Condiments,559,348,credit card,682.63,Completed
158,7/10/2025,158,94269-MH-726,Food - Dairy,,45,PayPal,577.82,Completed
159,11/16/2024,159,21557-AC-537,,814,253,PayPal,879.48,Completed
160,12/3/2024,160,86104-ZS-654,Pets,85,392,Google Pay,399.06,Completed
161,7/26/2025,161,05566-UO-962,Food - Frozen Foods,808,,PayPal,596.61,Pending
162,6/28/2025,162,25630-HJ-871,Food - Sauces,610,414,credit card,933.7,Pending
163,10/10/2024,163,18806-UT-639,Food - Snacks,577,355,Apple Pay,97.36,Completed
164,9/4/2024,164,13518-JM-837,Kitchen,976,261,Venmo,884.93,Completed
165,3/12/2025,165,10549-OU-305,Kitchen,865,85,Google Pay,594.46,Completed
166,7/11/2025,166,37861-QH-353,Home,445,488,Apple Pay,800.92,Completed
167,4/29/2025,167,18164-AT-975,Food - Breakfast,95,238,,75.12,Pending
168,8/7/2024,168,78281-GR-224,Food - Frozen Foods,340,300,debit card,984.3,Completed
169,7/17/2025,169,34945-XH-677,Home,154,223,Venmo,42.53,Completed
170,7/17/2025,170,10321-KC-924,Food - Snacks,775,483,credit card,822.23,Completed
171,2/20/2025,171,62389-XI-910,,200,417,debit card,369.27,Completed
172,12/3/2024,172,21435-CE-663,Kitchen,645,229,debit card,550.76,Completed
173,9/26/2024,173,38238-BV-934,Pets,85,68,Google Pay,227.66,Completed
174,1/18/2025,174,05404-HP-093,Food - Frozen Meals,889,377,Google Pay,575.59,Completed
175,9/1/2024,175,89116-JN-575,Outdoor,713,263,Apple Pay,68.8,Completed
176,9/21/2024,176,61910-JW-133,Travel,145,302,credit card,862.86,Returned
177,12/18/2024,177,13656-CC-834,Food - Frozen Desserts,913,,Apple Pay,387.28,Completed
178,1/20/2025,178,38797-XY-460,Food,417,40,Google Pay,382.98,Cancelled
179,12/10/2024,179,95893-CH-467,Food - Health/Protein,708,,debit card,419.72,Completed
180,11/4/2024,180,17547-TL-478,,75,294,Google Pay,648.72,Completed
181,10/24/2024,181,62038-PI-948,Electronics,991,79,credit card,884.74,Completed
182,3/24/2025,182,54058-LY-307,Fitness,801,178,Apple Pay,301.85,Completed
183,12/12/2024,183,38696-BC-250,Food - Dairy,762,427,,140.79,Completed
184,7/1/2025,184,52805-YG-336,Food - Breakfast,117,147,debit card,93.89,Completed
185,1/6/2025,185,72140-MI-911,Food - Seafood,860,20,credit card,362.44,Pending
186,3/3/2025,186,28345-LX-277,Food - Frozen Foods,505,347,Venmo,872.82,Completed
187,2/10/2025,187,52127-IJ-270,Food - Canned Soups,849,101,PayPal,999.11,Completed
188,9/7/2024,188,04339-NF-972,Food - Snacks,406,70,Google Pay,479.17,Pending
189,4/13/2025,189,04013-KV-506,Home,535,378,PayPal,476.31,Completed
190,7/6/2025,190,98147-QQ-983,Clothing - Outerwear,77,361,Apple Pay,571.24,Completed
191,11/28/2024,191,00985-UH-091,Clothing - Sweaters,641,291,Venmo,544.79,Completed
192,3/30/2025,192,13035-JR-734,Electronics,784,66,Venmo,756.62,Completed
193,2/8/2025,193,49899-DW-458,Accessories,,35,credit card,585.5,Completed
194,9/25/2024,194,11701-CB-670,,136,400,Venmo,930.48,Completed
195,2/21/2025,195,30778-HJ-104,Kitchen,578,15,Google Pay,572.29,Completed
196,11/23/2024,196,24646-KM-984,Food - Grains,288,239,debit card,910.98,Completed
197,2/8/2025,197,11236-PW-248,Food - Fruits,731,116,Venmo,873.68,Cancelled
198,12/6/2024,198,76880-WR-737,Food - Grains,840,175,Venmo,95.34,Completed
199,10/29/2024,199,04489-SB-789,Food - Sides,333,,Venmo,212.97,Completed
200,12/17/2024,200,93819-JR-743,Food - Prepared Meals,967,391,,469.29,Completed
201,8/17/2024,201,77840-CU-229,Food - Condiments,229,69,Venmo,429.4,Cancelled
202,4/14/2025,202,77986-AX-783,Food - Snacks,159,436,credit card,67.37,Completed
203,1/31/2025,203,54991-LL-227,Clothing - Bottoms,326,56,Apple Pay,254.09,Completed
204,9/30/2024,204,00238-DH-789,Pets,770,475,credit card,304.65,Completed
205,2/10/2025,205,,Kitchen,314,299,debit card,869.42,Cancelled
206,12/30/2024,206,34451-YV-390,Kitchen,867,315,PayPal,605.78,Completed
207,12/6/2024,207,52251-CV-543,Kitchen,441,171,Venmo,175.27,Completed
208,11/18/2024,208,30204-LX-158,Food - Salads,845,199,PayPal,47.75,Completed
209,6/9/2025,209,33665-VN-278,Food - Meat,103,165,credit card,765.95,Completed
210,2/26/2025,210,59428-FA-906,Food - Breakfast,22,357,Google Pay,92.87,Cancelled
211,6/21/2025,211,06377-FT-498,Clothing - Outerwear,456,376,Google Pay,949.12,Returned
212,12/26/2024,212,70948-SA-315,Food - Bakery,229,496,Apple Pay,802.61,Completed
213,11/26/2024,213,74793-GN-540,Food - Sauces,660,287,Apple Pay,433.66,Returned
214,6/8/2025,214,89500-AA-741,Food - Canned Goods,376,293,PayPal,251.85,Completed
215,11/26/2024,215,14083-UO-215,Food - Pasta,967,,,930.95,Completed
216,2/15/2025,216,44306-HK-186,Home,380,495,Google Pay,779.02,Completed
217,12/25/2024,217,80123-PX-913,Food - Pasta,152,62,debit card,812.06,Completed
218,5/27/2025,218,93348-LB-013,Food - Pasta,334,87,debit card,855.79,Completed
219,12/14/2024,219,99001-GU-291,Food - Frozen Foods,362,163,PayPal,926.98,Completed
220,7/19/2025,220,35887-BF-265,Clothing - Pants,925,203,PayPal,846.73,Cancelled
221,7/5/2025,221,32766-MM-937,Health,289,450,Venmo,466.1,Completed
222,12/24/2024,222,23444-UC-871,Food - Condiments,793,349,credit card,48.5,Completed
223,3/9/2025,223,99107-EH-988,,607,480,Google Pay,346.38,Cancelled
224,11/21/2024,224,53430-JX-607,Garden,517,339,Apple Pay,343.3,Completed
225,11/4/2024,225,91651-CA-577,Food - Snacks,249,139,Venmo,247.34,Returned
226,7/12/2025,226,14349-GB-794,Clothing - Bottoms,926,293,PayPal,289.23,Pending
227,8/18/2024,227,24320-GK-044,Food - Prepared Meals,656,444,debit card,98.4,Completed
228,2/10/2025,228,82901-ZF-876,Clothing - Outerwear,719,58,PayPal,124.55,Completed
229,11/1/2024,229,53325-JD-955,Food - Condiments,719,421,Google Pay,946.67,Completed
230,10/11/2024,230,22133-LP-480,Food - Frozen Foods,,159,Google Pay,691.37,Cancelled
231,4/19/2025,231,97793-LP-036,Automotive,599,484,Venmo,216.55,Pending
232,6/8/2025,232,54730-KO-641,Food - Dairy,919,104,Apple Pay,607.84,Completed
233,4/13/2025,233,87540-BS-628,Outdoor,278,147,Apple Pay,3.34,Completed
234,12/5/2024,234,21669-WJ-873,Safety,847,388,Google Pay,80.95,Completed
235,11/16/2024,235,94663-TB-085,Food - Snacks,753,425,credit card,255.22,Completed
236,8/2/2025,236,28549-MX-091,Pets,439,137,PayPal,558.05,Completed
237,8/29/2024,237,93356-EC-344,Electronics,740,201,PayPal,105.79,Completed
238,12/9/2024,238,52104-EO-905,Food - Prepared Meals,90,224,Google Pay,647.96,Completed
239,11/21/2024,239,96299-OS-271,Food - Snacks,105,366,Google Pay,636.72,Returned
240,9/7/2024,240,96579-QP-572,Food - Dairy,219,,debit card,339.12,Completed
241,5/20/2025,241,96227-DT-467,Kitchen,582,110,Apple Pay,3.74,Completed
242,9/25/2024,242,06881-NU-777,Apps,923,234,Venmo,106.87,Completed
243,9/7/2024,243,83270-ZN-160,Food - Frozen Foods,574,434,credit card,428.15,Completed
244,4/3/2025,244,46432-BU-823,Outdoor,413,,debit card,362.74,Completed
245,8/19/2024,245,62308-JX-607,Kitchen,498,379,Google Pay,583.68,Returned
246,12/15/2024,246,87395-CM-787,Food - Snacks,273,116,PayPal,429.29,Completed
247,12/2/2024,247,30902-VU-424,Food - Baking,437,239,Apple Pay,953.25,Returned
248,2/17/2025,248,04113-JO-177,Food - Snacks,98,40,debit card,697.99,Completed
249,6/9/2025,249,40031-PB-016,Food - Sauces,141,192,credit card,709.31,Completed
250,9/10/2024,250,06576-ZE-972,Toys,22,429,Venmo,131.54,Completed
251,2/10/2025,251,13808-UB-708,Food - Frozen Foods,704,365,Apple Pay,275.83,Completed
252,3/21/2025,252,21631-WE-984,Food - Condiments,559,453,Apple Pay,534.89,Completed
253,1/16/2025,253,32192-BH-409,Electronics,380,107,debit card,408.9,Completed
254,6/4/2025,254,49803-ZS-868,Home,124,62,debit card,553.54,Completed
255,5/4/2025,255,57699-AR-033,Food - Health Foods,717,281,Google Pay,66.78,Completed
256,5/6/2025,256,32701-RB-443,Art Supplies,759,44,Apple Pay,769.36,Completed
257,6/14/2025,257,83626-HQ-034,Kitchen,510,122,,770.67,Completed
258,6/4/2025,258,61859-KR-452,Food - Snacks,198,216,Google Pay,333.13,Completed
259,12/13/2024,259,02118-WQ-307,Food - Frozen Foods,294,478,PayPal,962.75,Cancelled
260,4/5/2025,260,41387-TY-927,Kitchen,626,462,Google Pay,286.37,Completed
261,4/27/2025,261,82566-LD-651,Food - Canned Goods,304,421,Apple Pay,42.83,Completed
262,1/12/2025,262,87846-AK-253,Office,276,411,Google Pay,720.69,Completed
263,10/2/2024,263,22733-IT-517,Food - Salads,625,224,,829.55,Pending
264,3/3/2025,264,56704-BX-806,Clothing - Shoes,568,162,Google Pay,907.1,Completed
265,8/8/2024,265,36728-TS-155,Smart Home,596,155,Apple Pay,881.8,Completed
266,5/19/2025,266,57134-PM-361,Food - Breakfast,417,466,Venmo,429.4,Cancelled
267,5/16/2025,267,03256-FZ-691,Accessories,400,489,credit card,936.77,Completed
268,9/24/2024,268,84135-WF-013,Food - Bakery,431,215,credit card,532.61,Completed
269,11/2/2024,269,97195-QS-372,Clothing - Tops,598,138,PayPal,237.71,Completed
270,10/15/2024,270,63507-SB-999,Food - Frozen Desserts,490,189,Google Pay,141.51,Pending
271,9/27/2024,271,61423-HC-913,Home,575,104,credit card,51.83,Completed
272,2/1/2025,272,20273-SZ-454,,794,30,Apple Pay,504.43,Completed
273,9/12/2024,273,10555-VS-237,Food - Beverages,97,432,Venmo,220.53,Returned
274,3/9/2025,274,70063-AF-620,Kitchen,569,475,Venmo,795.51,Completed
275,10/8/2024,275,28682-FV-953,Outdoor,910,173,Apple Pay,238.69,Completed
276,2/11/2025,276,49794-OK-446,Kitchen,7,398,Venmo,299.36,Returned
277,11/17/2024,277,56499-PB-289,Food - Condiments,342,360,Venmo,373.57,Completed
278,6/18/2025,278,13754-KR-864,Home,48,228,credit card,915.31,Completed
279,3/16/2025,279,42132-SW-821,Garden,356,379,Apple Pay,24.82,Completed
280,3/16/2025,280,03177-WA-969,Kitchen,532,381,debit card,567.63,Completed
281,6/4/2025,281,10511-FX-491,Food - Breakfast,115,364,credit card,213.27,Returned
282,12/13/2024,282,59340-UL-265,Fitness,230,311,Apple Pay,171.66,Completed
283,6/6/2025,283,95645-VL-405,Outdoor,875,155,Apple Pay,793.33,Pending
284,10/10/2024,284,51523-GI-234,Food - Frozen Foods,22,21,debit card,717.39,Completed
285,10/29/2024,285,81461-ZR-870,Home,450,355,credit card,725.61,Completed
286,10/18/2024,286,98287-MY-840,Kitchen,245,,credit card,958.44,Pending
287,7/12/2025,287,69198-RE-740,Kitchen,746,,,803.13,Cancelled
288,2/4/2025,288,01806-PF-346,Kitchen,906,439,Google Pay,932.49,Completed
289,8/5/2024,289,38328-OE-387,Food - Salads,424,71,Venmo,328.23,Completed
290,8/18/2024,290,60480-FX-926,Toys,28,149,Google Pay,354.33,Completed
291,1/21/2025,291,85772-MN-018,Outdoor,930,429,Apple Pay,592.47,Completed
292,2/15/2025,292,48280-DP-282,Kitchen,846,331,Apple Pay,684.74,Completed
293,6/10/2025,293,15550-QS-123,Home,724,499,debit card,651.48,Completed
294,5/5/2025,294,70077-QA-038,Kitchen,215,484,Apple Pay,333.1,Returned
295,12/19/2024,295,57792-FK-172,Tools,159,19,Venmo,266.65,Pending
296,7/28/2025,296,81102-JZ-549,Clothing - Bottoms,841,269,Venmo,333.11,Completed
297,11/11/2024,297,47371-PH-700,Kitchen,352,23,Venmo,181.34,Completed
298,11/25/2024,298,25310-VY-906,Kitchen,626,351,Venmo,759.99,Returned
299,6/18/2025,299,06816-EG-446,Beauty,,156,credit card,907.28,Completed
300,11/16/2024,300,58565-ZZ-316,Kitchen,492,327,Apple Pay,380.84,Completed
301,11/18/2024,301,10546-UO-626,Food - Frozen Foods,119,,Venmo,909.98,Pending
302,3/25/2025,302,12466-YZ-516,Food - Snacks,719,372,PayPal,871.17,Completed
303,6/7/2025,303,50630-NY-051,Home,343,289,Venmo,150.46,Cancelled
304,1/9/2025,304,64102-FJ-852,Food - Meat Alternatives,427,104,Venmo,166.02,Completed
305,6/30/2025,305,00243-DL-067,Kitchen,403,38,PayPal,271.49,Completed
306,4/27/2025,306,46151-ZS-855,Health,,385,Apple Pay,840.78,Completed
307,1/2/2025,307,21875-HN-944,Office,473,389,credit card,561.17,Completed
308,5/6/2025,308,30711-XL-543,Pets,409,201,,614.93,Completed
309,6/20/2025,309,47486-SG-195,Food - Spices,,162,debit card,687.6,Completed
310,3/1/2025,310,87910-WN-596,Food - Meat Substitutes,925,94,Google Pay,143.46,Completed
311,12/28/2024,311,42331-MS-709,Food - Baking,390,46,debit card,78.87,Returned
312,3/19/2025,312,87892-PY-043,Clothing - Footwear,840,477,Venmo,1.68,Completed
313,11/23/2024,313,65626-RD-412,Home,726,490,debit card,223.12,Completed
314,3/24/2025,314,12871-GQ-254,Food - Sauces,741,142,Google Pay,11.6,Completed
315,1/23/2025,315,33563-HH-167,Food - Canned Soups,850,,debit card,785.61,Completed
316,10/3/2024,316,49484-IF-587,Kitchen,171,330,Google Pay,502.67,Completed
317,9/10/2024,317,77163-WY-324,Food - Salads,278,38,Apple Pay,532.51,Completed
318,7/10/2025,318,58058-RX-646,Food - Meat,750,246,Google Pay,552.23,Completed
319,1/18/2025,319,57356-ZS-882,Accessories,505,189,credit card,770.35,Cancelled
320,4/20/2025,320,32085-HP-149,Audio,472,207,Apple Pay,32.35,Completed
321,1/31/2025,321,44292-WE-208,Food - Dips,44,273,Google Pay,621.48,Completed
322,7/8/2025,322,79600-JV-749,Food - Snacks,995,406,Venmo,78.48,Returned
323,8/22/2024,323,87594-PQ-263,Kitchen,501,372,PayPal,698.19,Completed
324,11/9/2024,324,90490-OI-157,Home,608,372,Google Pay,261.85,Completed
