order_id,order_date,customer_id,product_id,category,quantity,price_per_unit,payment_method,total_order_value,order_status,campaign_id,channel,region,price_without_discount,discount_applied,discount_amount,days_to_delivery
27,2025-04-29,27,36377-GQ-102,Food - Breakfast,518.0,263.0,credit card,136234.0,Cancelled,Campaign B,Email Marketing,West,136234.0,False,0.0,1
28,2024-11-23,28,24615-CK-480,Food - Baking,520.0,129.0,Apple Pay,67080.0,Completed,Campaign A,Google Ads,North,67080.0,False,0.0,1
30,2025-03-28,30,15891-EP-987,Garden,33.0,145.0,Venmo,4785.0,Completed,Campaign C,Social Media,East,4785.0,False,0.0,7
31,2024-09-25,31,15264-RA-206,Kitchen,464.0,215.0,Apple Pay,99760.0,Completed,Campaign A,Google Ads,West,99760.0,False,0.0,5
32,2024-08-11,32,83307-RE-568,Food - Grains,829.0,130.0,PayPal,107770.0,Completed,Campaign A,Google Ads,North,107770.0,False,0.0,2
33,2024-08-08,33,52050-BI-337,Accessories,4.0,142.0,debit card,568.0,Completed,Campaign A,Google Ads,South,568.0,False,0.0,9
34,2025-06-05,34,06428-KP-134,Kitchen,106.0,84.0,debit card,8432.630283306577,Completed,Campaign C,Social Media,East,8904.0,True,471.3697166934235,6
36,2025-06-11,36,09219-PO-795,Food - Canned Goods,265.0,278.0,credit card,73670.0,Completed,Campaign B,Email Marketing,North,73670.0,False,0.0,2
37,2025-06-08,37,66309-JY-651,Food - Condiments,687.0,467.0,credit card,320829.0,Completed,Campaign B,Email Marketing,South,320829.0,False,0.0,2
38,2025-05-01,38,78645-ME-599,Food - Bakery,160.0,438.0,Google Pay,52739.28557296931,Completed,Campaign B,Email Marketing,East,70080.0,True,17340.71442703069,2
39,2024-11-04,39,27004-QF-231,Food - Spreads,535.0,50.0,Apple Pay,20217.26443107096,Completed,Campaign A,Google Ads,West,26750.0,True,6532.73556892904,2
40,2024-11-27,40,70620-LP-323,Food - Beverages,896.0,443.0,PayPal,396928.0,Completed,Campaign A,Google Ads,North,396928.0,False,0.0,2
41,2024-09-24,41,77334-DB-378,Food - Snacks,151.0,123.0,Venmo,14664.621645123809,Completed,Campaign A,Google Ads,South,18573.0,True,3908.3783548761908,2
42,2025-05-15,42,70685-ER-318,Electronics,478.0,244.0,Google Pay,94368.27197163245,Completed,Campaign C,Social Media,East,116632.0,True,22263.72802836755,9
43,2025-03-16,43,14603-KU-829,Food - Meat,93.0,262.0,debit card,24366.0,Completed,Campaign B,Email Marketing,West,24366.0,False,0.0,3
44,2025-02-17,44,01742-YB-265,Food - Meat,827.0,106.0,Venmo,87662.0,Completed,Campaign B,Email Marketing,North,87662.0,False,0.0,2
46,2025-07-05,46,79564-OW-835,Accessories,818.0,180.0,Apple Pay,147240.0,Completed,Campaign C,Social Media,East,147240.0,False,0.0,5
47,2025-04-28,47,19622-ZZ-666,Food - Bakery,825.0,249.0,Venmo,205425.0,Completed,Campaign B,Email Marketing,West,205425.0,False,0.0,3
48,2025-05-22,48,59215-WZ-988,Garden,51.0,474.0,credit card,24174.0,Completed,Campaign C,Social Media,North,24174.0,False,0.0,6
49,2025-04-09,49,40107-LF-564,Home,711.0,149.0,debit card,105939.0,Completed,Campaign C,Social Media,South,105939.0,False,0.0,10
50,2025-07-15,50,22867-KD-351,Food - Snacks,97.0,433.0,Venmo,42001.0,Cancelled,Campaign C,Social Media,East,42001.0,False,0.0,1
53,2025-08-01,53,77384-QV-630,Food - Snacks,492.0,255.0,Venmo,125460.0,Completed,Campaign C,Social Media,South,125460.0,False,0.0,2
54,2025-03-05,54,84837-IX-204,Fitness,858.0,368.0,debit card,315744.0,Completed,Campaign C,Social Media,East,315744.0,False,0.0,3
55,2024-12-07,55,12658-VA-964,Tools,940.0,268.0,credit card,251920.0,Completed,Campaign A,Google Ads,West,251920.0,False,0.0,5
57,2025-03-02,57,54741-VY-960,Garden,322.0,366.0,Apple Pay,99043.8094341589,Completed,Campaign C,Social Media,South,117852.0,True,18808.190565841105,10
58,2025-04-07,58,09553-LM-777,Food - Snacks,628.0,75.0,PayPal,43810.23077437569,Completed,Campaign B,Email Marketing,East,47100.0,True,3289.7692256243126,2
59,2024-09-03,59,14353-JI-069,Food - Breakfast,382.0,278.0,Google Pay,106196.0,Completed,Campaign A,Google Ads,West,106196.0,False,0.0,3
60,2025-02-26,60,19114-FK-378,Food - Breakfast,563.0,245.0,PayPal,137935.0,Completed,Campaign B,Email Marketing,North,137935.0,False,0.0,1
61,2024-11-04,61,71087-TB-595,Home,56.0,132.0,Google Pay,7392.0,Completed,Campaign A,Google Ads,South,7392.0,False,0.0,5
62,2025-01-25,62,07882-LZ-817,Food - Grains,937.0,279.0,PayPal,261423.0,Completed,Campaign B,Email Marketing,East,261423.0,False,0.0,3
65,2025-01-19,65,10791-JX-966,Accessories,458.0,215.0,Apple Pay,98470.0,Completed,Campaign C,Social Media,South,98470.0,False,0.0,5
68,2024-09-07,68,86190-KE-464,Food - Snacks,375.0,234.0,debit card,79631.4621636866,Returned,Campaign A,Google Ads,North,87750.0,True,8118.537836313388,1
69,2025-05-19,69,22629-KM-848,Kitchen,528.0,243.0,Apple Pay,108872.28462399816,Cancelled,Campaign C,Social Media,South,128304.0,True,19431.71537600184,7
70,2024-09-02,70,96940-VQ-364,Toys,432.0,343.0,PayPal,148176.0,Completed,Campaign A,Google Ads,East,148176.0,False,0.0,10
71,2024-11-23,71,41225-NT-124,Food - Dairy,899.0,298.0,Venmo,267902.0,Cancelled,Campaign A,Google Ads,West,267902.0,False,0.0,2
72,2024-11-26,72,58569-WA-481,Food - Canned Goods,652.0,156.0,Apple Pay,101712.0,Returned,Campaign A,Google Ads,North,101712.0,False,0.0,1
73,2024-10-13,73,30138-RH-216,Smart Home,673.0,349.0,Apple Pay,234877.0,Completed,Campaign A,Google Ads,South,234877.0,False,0.0,10
74,2025-02-06,74,07998-BN-216,Food - Spreads,228.0,30.0,Google Pay,6840.0,Completed,Campaign B,Email Marketing,East,6840.0,False,0.0,3
76,2025-07-30,76,06533-SN-976,Food - Frozen Foods,895.0,121.0,credit card,94732.97803353163,Cancelled,Campaign C,Social Media,North,108295.0,True,13562.021966468372,1
78,2025-01-25,78,14488-MN-475,Food - Beverages,408.0,318.0,debit card,129744.0,Pending,Campaign B,Email Marketing,East,129744.0,False,0.0,1
79,2025-07-31,79,27720-YC-721,Food - Cooking Kits,567.0,391.0,debit card,221697.0,Cancelled,Campaign C,Social Media,West,221697.0,False,0.0,3
80,2025-04-11,80,92363-RS-509,Outdoor,307.0,152.0,PayPal,40489.65653627278,Pending,Campaign C,Social Media,North,46664.0,True,6174.343463727219,3
81,2024-09-04,81,63289-RM-647,Home,633.0,424.0,credit card,268392.0,Completed,Campaign A,Google Ads,South,268392.0,False,0.0,10
82,2025-04-10,82,64972-LW-645,Food - Canned Goods,163.0,378.0,PayPal,58218.34817365339,Completed,Campaign B,Email Marketing,East,61614.0,True,3395.6518263466132,3
83,2024-12-13,83,88248-UD-407,Health,300.0,490.0,Venmo,147000.0,Completed,Campaign A,Google Ads,West,147000.0,False,0.0,7
84,2025-02-19,84,47337-ED-880,Food - Frozen Foods,6.0,295.0,PayPal,1770.0,Completed,Campaign B,Email Marketing,North,1770.0,False,0.0,1
85,2025-07-27,85,55046-JE-852,Food - Frozen Foods,883.0,214.0,Venmo,188962.0,Pending,Campaign C,Social Media,South,188962.0,False,0.0,3
89,2024-09-07,89,49976-GT-533,Pets,992.0,228.0,credit card,226176.0,Returned,Campaign A,Google Ads,South,226176.0,False,0.0,3
90,2024-11-10,90,87371-YF-479,Kitchen,706.0,393.0,debit card,277458.0,Completed,Campaign A,Google Ads,East,277458.0,False,0.0,6
91,2024-10-12,91,29737-ZP-450,Food - Produce,496.0,133.0,Google Pay,61012.35863448643,Completed,Campaign A,Google Ads,West,65968.0,True,4955.64136551357,2
92,2025-04-19,92,39295-CZ-492,Food - Prepared Foods,932.0,479.0,credit card,373848.75863920234,Completed,Campaign B,Email Marketing,North,446428.0,True,72579.24136079768,1
93,2025-02-01,93,86497-RR-401,Food - Baking & Cooking,604.0,344.0,Google Pay,207776.0,Returned,Campaign B,Email Marketing,South,207776.0,False,0.0,3
95,2024-10-23,95,10896-CT-953,Food - Confectionery,103.0,255.0,PayPal,26265.0,Cancelled,Campaign A,Google Ads,West,26265.0,False,0.0,1
96,2025-05-05,96,65031-LQ-628,Home Security,952.0,217.0,credit card,183231.7551587756,Completed,Campaign C,Social Media,North,206584.0,True,23352.24484122439,7
97,2025-01-27,97,48122-TQ-598,Kitchen,805.0,68.0,Apple Pay,54740.0,Completed,Campaign C,Social Media,South,54740.0,False,0.0,5
98,2024-12-08,98,41405-KT-682,Food - Baking Goods,965.0,239.0,debit card,230635.0,Completed,Campaign A,Google Ads,East,230635.0,False,0.0,2
100,2024-11-17,100,80697-JW-557,Fitness,306.0,297.0,Google Pay,77086.71121416017,Completed,Campaign A,Google Ads,North,90882.0,True,13795.288785839824,4
101,2025-06-04,101,07995-LI-178,Kitchen,965.0,163.0,Google Pay,157295.0,Completed,Campaign C,Social Media,South,157295.0,False,0.0,7
102,2024-11-27,102,42753-EH-834,Office,638.0,222.0,credit card,141636.0,Completed,Campaign A,Google Ads,East,141636.0,False,0.0,5
103,2024-10-31,103,79719-BR-891,Food - Grocery,972.0,275.0,Venmo,267300.0,Cancelled,Campaign A,Google Ads,West,267300.0,False,0.0,1
104,2024-08-07,104,16644-XM-586,Food - Cereal,952.0,271.0,Google Pay,210811.2712528354,Completed,Campaign A,Google Ads,North,257992.0,True,47180.72874716458,3
105,2024-10-07,105,60037-BD-557,Food - Beverages,435.0,453.0,debit card,197055.0,Returned,Campaign A,Google Ads,South,197055.0,False,0.0,3
106,2024-09-09,106,53631-LE-720,Electronics,662.0,407.0,Venmo,269434.0,Completed,Campaign A,Google Ads,East,269434.0,False,0.0,7
107,2024-10-18,107,63833-ZA-490,Clothing - Tops,219.0,123.0,credit card,26937.0,Completed,Campaign A,Google Ads,West,26937.0,False,0.0,7
108,2025-06-24,108,86394-BT-767,Food - Spices,962.0,356.0,debit card,342472.0,Completed,Campaign B,Email Marketing,North,342472.0,False,0.0,3
110,2025-05-26,110,27632-JW-007,Food - Produce,533.0,423.0,credit card,225459.0,Completed,Campaign B,Email Marketing,East,225459.0,False,0.0,3
111,2024-10-17,111,83738-ZK-410,Food - Condiments,974.0,463.0,debit card,450962.0,Returned,Campaign A,Google Ads,West,450962.0,False,0.0,2
112,2025-01-24,112,16882-HR-505,Automotive,699.0,358.0,Google Pay,250242.0,Pending,Campaign C,Social Media,North,250242.0,False,0.0,8
113,2025-05-04,113,05148-RT-426,Food - Meat & Seafood,353.0,165.0,Apple Pay,47334.96407374886,Completed,Campaign B,Email Marketing,South,58245.0,True,10910.03592625114,3
114,2025-07-19,114,48508-JA-722,Food - Produce,174.0,102.0,Venmo,17748.0,Completed,Campaign C,Social Media,East,17748.0,False,0.0,2
116,2025-03-23,116,48790-ZY-973,Clothing - Activewear,642.0,129.0,PayPal,82818.0,Completed,Campaign C,Social Media,North,82818.0,False,0.0,4
117,2025-03-26,117,35825-KE-572,Food - Sides,647.0,253.0,PayPal,163691.0,Completed,Campaign B,Email Marketing,South,163691.0,False,0.0,2
119,2024-11-09,119,03965-CN-685,Food - Prepared Meals,445.0,304.0,Apple Pay,135280.0,Completed,Campaign A,Google Ads,West,135280.0,False,0.0,2
120,2024-12-20,120,82970-DI-765,Travel,384.0,257.0,debit card,92397.94384781965,Cancelled,Campaign A,Google Ads,North,98688.0,True,6290.056152180343,5
122,2025-03-23,122,02080-AM-716,Photography,287.0,348.0,Apple Pay,99876.0,Pending,Campaign C,Social Media,East,99876.0,False,0.0,9
123,2025-04-27,123,03842-RU-093,Smart Home,757.0,40.0,Venmo,30280.0,Completed,Campaign C,Social Media,West,30280.0,False,0.0,6
126,2025-04-19,126,59611-BF-805,Home,825.0,81.0,debit card,66825.0,Completed,Campaign C,Social Media,East,66825.0,False,0.0,6
128,2024-09-11,128,68745-GH-015,Audio,387.0,414.0,PayPal,160218.0,Cancelled,Campaign A,Google Ads,North,160218.0,False,0.0,6
129,2025-01-22,129,40028-BN-395,Outdoor,369.0,23.0,Google Pay,8487.0,Completed,Campaign C,Social Media,South,8487.0,False,0.0,5
130,2024-11-08,130,18103-JP-429,Food - Frozen,330.0,455.0,Google Pay,150150.0,Returned,Campaign A,Google Ads,East,150150.0,False,0.0,1
131,2025-02-15,131,49306-AS-422,Kitchen,637.0,230.0,debit card,146510.0,Pending,Campaign C,Social Media,West,146510.0,False,0.0,5
132,2025-02-24,132,94133-UJ-716,Food - Spices,500.0,334.0,Venmo,167000.0,Completed,Campaign B,Email Marketing,North,167000.0,False,0.0,1
133,2024-12-31,133,87061-QH-733,Food - Cheese,55.0,183.0,Apple Pay,7726.373661358058,Returned,Campaign A,Google Ads,South,10065.0,True,2338.6263386419423,1
134,2025-05-03,134,56734-RA-251,Home,603.0,260.0,Venmo,156780.0,Pending,Campaign C,Social Media,East,156780.0,False,0.0,7
135,2024-11-28,135,56968-SI-414,Food - Frozen Food,922.0,313.0,Apple Pay,288586.0,Completed,Campaign A,Google Ads,West,288586.0,False,0.0,3
137,2024-09-25,137,33837-RI-947,Outdoor,314.0,100.0,PayPal,31400.0,Completed,Campaign A,Google Ads,South,31400.0,False,0.0,5
138,2025-06-26,138,65867-HI-369,Kitchen,773.0,467.0,debit card,360991.0,Returned,Campaign C,Social Media,East,360991.0,False,0.0,10
139,2025-01-03,139,43963-PZ-047,Kitchen,969.0,54.0,credit card,52326.0,Completed,Campaign C,Social Media,West,52326.0,False,0.0,9
140,2024-08-05,140,05794-XB-544,Health,19.0,268.0,Apple Pay,5092.0,Completed,Campaign A,Google Ads,North,5092.0,False,0.0,8
141,2025-03-11,141,83560-IZ-371,Food - Cheese,635.0,62.0,credit card,33665.41305482727,Completed,Campaign B,Email Marketing,South,39370.0,True,5704.586945172725,1
142,2025-05-09,142,87336-YA-387,Food - Baking,516.0,300.0,PayPal,154800.0,Completed,Campaign B,Email Marketing,East,154800.0,False,0.0,2
143,2025-07-22,143,88160-AY-911,Food - Baking,70.0,262.0,debit card,18340.0,Completed,Campaign C,Social Media,West,18340.0,False,0.0,1
144,2025-02-25,144,82649-OO-042,Kitchen,973.0,156.0,PayPal,151788.0,Completed,Campaign C,Social Media,North,151788.0,False,0.0,9
145,2024-09-25,145,53191-YY-539,Accessories,916.0,165.0,Venmo,151140.0,Completed,Campaign A,Google Ads,South,151140.0,False,0.0,10
146,2024-10-19,146,12227-CJ-359,Toys,421.0,129.0,PayPal,54309.0,Completed,Campaign A,Google Ads,East,54309.0,False,0.0,6
147,2025-04-08,147,34785-AN-273,Food - Frozen Foods,431.0,198.0,debit card,85338.0,Completed,Campaign B,Email Marketing,West,85338.0,False,0.0,3
148,2025-07-22,148,53411-MT-606,Home Improvement,362.0,422.0,Venmo,152764.0,Completed,Campaign C,Social Media,North,152764.0,False,0.0,5
150,2024-12-28,150,97469-XA-139,Clothing - Dresses,893.0,412.0,credit card,367916.0,Completed,Campaign A,Google Ads,East,367916.0,False,0.0,8
151,2024-10-26,151,96149-LJ-002,Kitchen,675.0,21.0,Apple Pay,14175.0,Completed,Campaign A,Google Ads,West,14175.0,False,0.0,7
152,2025-05-25,152,54180-MR-224,Home,340.0,198.0,Venmo,67320.0,Completed,Campaign C,Social Media,North,67320.0,False,0.0,6
153,2024-12-31,153,56494-HV-250,Food - Sides,300.0,253.0,Apple Pay,64703.408187660534,Completed,Campaign A,Google Ads,South,75900.0,True,11196.591812339466,3
154,2024-09-18,154,42401-SX-100,Fitness,920.0,259.0,credit card,238280.0,Completed,Campaign A,Google Ads,East,238280.0,False,0.0,6
157,2025-01-11,157,58337-VK-862,Food - Condiments,559.0,348.0,credit card,194532.0,Completed,Campaign B,Email Marketing,South,194532.0,False,0.0,1
160,2024-12-03,160,86104-ZS-654,Pets,85.0,392.0,Google Pay,33320.0,Completed,Campaign A,Google Ads,North,33320.0,False,0.0,4
162,2025-06-28,162,25630-HJ-871,Food - Sauces,610.0,414.0,credit card,231427.154187765,Pending,Campaign B,Email Marketing,East,252540.0,True,21112.845812235002,2
163,2024-10-10,163,18806-UT-639,Food - Snacks,577.0,355.0,Apple Pay,204835.0,Completed,Campaign A,Google Ads,West,204835.0,False,0.0,3
164,2024-09-04,164,13518-JM-837,Kitchen,976.0,261.0,Venmo,254736.0,Completed,Campaign A,Google Ads,North,254736.0,False,0.0,5
165,2025-03-12,165,10549-OU-305,Kitchen,865.0,85.0,Google Pay,73525.0,Completed,Campaign C,Social Media,South,73525.0,False,0.0,10
166,2025-07-11,166,37861-QH-353,Home,445.0,488.0,Apple Pay,217160.0,Completed,Campaign C,Social Media,East,217160.0,False,0.0,10
168,2024-08-07,168,78281-GR-224,Food - Frozen Foods,340.0,300.0,debit card,102000.0,Completed,Campaign A,Google Ads,North,102000.0,False,0.0,1
169,2025-07-17,169,34945-XH-677,Home,154.0,223.0,Venmo,34342.0,Completed,Campaign C,Social Media,South,34342.0,False,0.0,9
170,2025-07-17,170,10321-KC-924,Food - Snacks,775.0,483.0,credit card,374325.0,Completed,Campaign C,Social Media,East,374325.0,False,0.0,2
172,2024-12-03,172,21435-CE-663,Kitchen,645.0,229.0,debit card,147705.0,Completed,Campaign A,Google Ads,North,147705.0,False,0.0,8
173,2024-09-26,173,38238-BV-934,Pets,85.0,68.0,Google Pay,5780.0,Completed,Campaign A,Google Ads,South,5780.0,False,0.0,3
174,2025-01-18,174,05404-HP-093,Food - Frozen Meals,889.0,377.0,Google Pay,270432.1257446037,Completed,Campaign B,Email Marketing,East,335153.0,True,64720.87425539629,1
175,2024-09-01,175,89116-JN-575,Outdoor,713.0,263.0,Apple Pay,187519.0,Completed,Campaign A,Google Ads,West,187519.0,False,0.0,6
176,2024-09-21,176,61910-JW-133,Travel,145.0,302.0,credit card,43790.0,Returned,Campaign A,Google Ads,North,43790.0,False,0.0,5
178,2025-01-20,178,38797-XY-460,Food,417.0,40.0,Google Pay,16680.0,Cancelled,Campaign B,Email Marketing,East,16680.0,False,0.0,1
181,2024-10-24,181,62038-PI-948,Electronics,991.0,79.0,credit card,78289.0,Completed,Campaign A,Google Ads,South,78289.0,False,0.0,9
182,2025-03-24,182,54058-LY-307,Fitness,801.0,178.0,Apple Pay,125992.73184762045,Completed,Campaign C,Social Media,East,142578.0,True,16585.26815237955,5
184,2025-07-01,184,52805-YG-336,Food - Breakfast,117.0,147.0,debit card,17199.0,Completed,Campaign C,Social Media,North,17199.0,False,0.0,1
185,2025-01-06,185,72140-MI-911,Food - Seafood,860.0,20.0,credit card,17200.0,Pending,Campaign B,Email Marketing,South,17200.0,False,0.0,2
186,2025-03-03,186,28345-LX-277,Food - Frozen Foods,505.0,347.0,Venmo,175235.0,Completed,Campaign B,Email Marketing,East,175235.0,False,0.0,3
187,2025-02-10,187,52127-IJ-270,Food - Canned Soups,849.0,101.0,PayPal,85749.0,Completed,Campaign B,Email Marketing,West,85749.0,False,0.0,3
188,2024-09-07,188,04339-NF-972,Food - Snacks,406.0,70.0,Google Pay,22656.564929446427,Pending,Campaign A,Google Ads,North,28420.0,True,5763.435070553572,3
189,2025-04-13,189,04013-KV-506,Home,535.0,378.0,PayPal,202230.0,Completed,Campaign C,Social Media,South,202230.0,False,0.0,7
190,2025-07-06,190,98147-QQ-983,Clothing - Outerwear,77.0,361.0,Apple Pay,27797.0,Completed,Campaign C,Social Media,East,27797.0,False,0.0,4
191,2024-11-28,191,00985-UH-091,Clothing - Sweaters,641.0,291.0,Venmo,186531.0,Completed,Campaign A,Google Ads,West,186531.0,False,0.0,4
192,2025-03-30,192,13035-JR-734,Electronics,784.0,66.0,Venmo,51744.0,Completed,Campaign C,Social Media,North,51744.0,False,0.0,8
195,2025-02-21,195,30778-HJ-104,Kitchen,578.0,15.0,Google Pay,7457.336895691898,Completed,Campaign C,Social Media,West,8670.0,True,1212.6631043081024,10
196,2024-11-23,196,24646-KM-984,Food - Grains,288.0,239.0,debit card,68832.0,Completed,Campaign A,Google Ads,North,68832.0,False,0.0,2
197,2025-02-08,197,11236-PW-248,Food - Fruits,731.0,116.0,Venmo,84796.0,Cancelled,Campaign B,Email Marketing,South,84796.0,False,0.0,1
198,2024-12-06,198,76880-WR-737,Food - Grains,840.0,175.0,Venmo,134122.47890827764,Completed,Campaign A,Google Ads,East,147000.0,True,12877.521091722369,1
201,2024-08-17,201,77840-CU-229,Food - Condiments,229.0,69.0,Venmo,15801.0,Cancelled,Campaign A,Google Ads,South,15801.0,False,0.0,3
202,2025-04-14,202,77986-AX-783,Food - Snacks,159.0,436.0,credit card,69324.0,Completed,Campaign B,Email Marketing,East,69324.0,False,0.0,2
203,2025-01-31,203,54991-LL-227,Clothing - Bottoms,326.0,56.0,Apple Pay,18256.0,Completed,Campaign C,Social Media,West,18256.0,False,0.0,5
204,2024-09-30,204,00238-DH-789,Pets,770.0,475.0,credit card,290955.645458109,Completed,Campaign A,Google Ads,North,365750.0,True,74794.35454189104,2
206,2024-12-30,206,34451-YV-390,Kitchen,867.0,315.0,PayPal,230482.96329478794,Completed,Campaign A,Google Ads,East,273105.0,True,42622.03670521206,9
207,2024-12-06,207,52251-CV-543,Kitchen,441.0,171.0,Venmo,75411.0,Completed,Campaign A,Google Ads,West,75411.0,False,0.0,10
208,2024-11-18,208,30204-LX-158,Food - Salads,845.0,199.0,PayPal,168155.0,Completed,Campaign A,Google Ads,North,168155.0,False,0.0,2
209,2025-06-09,209,33665-VN-278,Food - Meat,103.0,165.0,credit card,16995.0,Completed,Campaign B,Email Marketing,South,16995.0,False,0.0,2
210,2025-02-26,210,59428-FA-906,Food - Breakfast,22.0,357.0,Google Pay,7854.0,Cancelled,Campaign B,Email Marketing,East,7854.0,False,0.0,2
211,2025-06-21,211,06377-FT-498,Clothing - Outerwear,456.0,376.0,Google Pay,171456.0,Returned,Campaign C,Social Media,West,171456.0,False,0.0,5
212,2024-12-26,212,70948-SA-315,Food - Bakery,229.0,496.0,Apple Pay,113584.0,Completed,Campaign A,Google Ads,North,113584.0,False,0.0,3
213,2024-11-26,213,74793-GN-540,Food - Sauces,660.0,287.0,Apple Pay,189420.0,Returned,Campaign A,Google Ads,South,189420.0,False,0.0,2
214,2025-06-08,214,89500-AA-741,Food - Canned Goods,376.0,293.0,PayPal,110168.0,Completed,Campaign B,Email Marketing,East,110168.0,False,0.0,2
216,2025-02-15,216,44306-HK-186,Home,380.0,495.0,Google Pay,145167.97065727893,Completed,Campaign C,Social Media,North,188100.0,True,42932.02934272108,6
217,2024-12-25,217,80123-PX-913,Food - Pasta,152.0,62.0,debit card,9424.0,Completed,Campaign A,Google Ads,South,9424.0,False,0.0,2
218,2025-05-27,218,93348-LB-013,Food - Pasta,334.0,87.0,debit card,29058.0,Completed,Campaign B,Email Marketing,East,29058.0,False,0.0,3
219,2024-12-14,219,99001-GU-291,Food - Frozen Foods,362.0,163.0,PayPal,59006.0,Completed,Campaign A,Google Ads,West,59006.0,False,0.0,1
220,2025-07-19,220,35887-BF-265,Clothing - Pants,925.0,203.0,PayPal,152755.49793381878,Cancelled,Campaign C,Social Media,North,187775.0,True,35019.5020661812,4
221,2025-07-05,221,32766-MM-937,Health,289.0,450.0,Venmo,130050.0,Completed,Campaign C,Social Media,South,130050.0,False,0.0,9
222,2024-12-24,222,23444-UC-871,Food - Condiments,793.0,349.0,credit card,276757.0,Completed,Campaign A,Google Ads,East,276757.0,False,0.0,1
224,2024-11-21,224,53430-JX-607,Garden,517.0,339.0,Apple Pay,147958.92181943037,Completed,Campaign A,Google Ads,North,175263.0,True,27304.078180569635,8
225,2024-11-04,225,91651-CA-577,Food - Snacks,249.0,139.0,Venmo,29220.7668092678,Returned,Campaign A,Google Ads,South,34611.0,True,5390.233190732202,3
226,2025-07-12,226,14349-GB-794,Clothing - Bottoms,926.0,293.0,PayPal,271318.0,Pending,Campaign C,Social Media,East,271318.0,False,0.0,7
227,2024-08-18,227,24320-GK-044,Food - Prepared Meals,656.0,444.0,debit card,291264.0,Completed,Campaign A,Google Ads,West,291264.0,False,0.0,2
228,2025-02-10,228,82901-ZF-876,Clothing - Outerwear,719.0,58.0,PayPal,41702.0,Completed,Campaign C,Social Media,North,41702.0,False,0.0,4
229,2024-11-01,229,53325-JD-955,Food - Condiments,719.0,421.0,Google Pay,242457.45074228494,Completed,Campaign A,Google Ads,South,302699.0,True,60241.549257715065,3
